I ran a marathon and it was a piece of cake after months of training.,"After months of training, running a marathon was easy for me."
It was a piece of cake to pass my driver’s test.,Passing my driver’s test was easy.
Using flashcards made taking the test a piece of cake.,Using flashcards made taking the test easy.
"Don’t worry, Sophie – this job interview will be a piece of cake for you – you have all the skills they need and I think you’re absolutely the best candidate.","Don’t worry, Sophie – this job interview will be easy for you. You have all the skills they need, and I believe you’re the best candidate."
"They said the test would be difficult, but it was a piece of cake – I’ll pass with no problem at all.","They said the test would be difficult, but it was easy – I’ll pass without any problem."
Don’t think that this term’s work will be a piece of cake – you’ll have to study hard to get good grades.,Don’t think that this term’s work will be easy – you’ll have to study hard to get good grades.
"Some parts of cooking are really difficult, but I found that making spaghetti Bolognese is a piece of cake.","Some parts of cooking are really difficult, but I found that making spaghetti Bolognese is easy."
"Giving Maria a make-over was a piece of cake, because she’s so naturally beautiful.",Giving Maria a make-over was easy because she’s naturally beautiful.
"I’ll have to work really hard for the theory part of the exam, but the practical part will be a piece of cake, because I’ve been practicing for so long.","I’ll have to work really hard for the theory part of the exam, but the practical part will be easy because I’ve been practicing for so long."
It's a piece of cake because I am a sewist.,It's easy for me because I am a sewist.
"Making Bibimbab is a piece of cake, a real no-brainer.","Making Bibimbab is easy, very straightforward."
"Once you have those, it's a piece of cake.","Once you have those, it's easy."
It's a piece of cake to beat him.,It's easy to beat him.
The project was a piece of cake to complete.,The project was easy to complete.
The test was piece of cake.,The test was easy.
"I’d like to have a new farmhouse, but it may cost me an arm and a leg.","I’d like to have a new farmhouse, but it may be very expensive."
"This dress is lovely, but it cost me an arm and a leg.","This dress is lovely, but it was very expensive."
"It would be best if you visited that restaurant; the food is really good, and it doesn’t cost you an arm and a leg.","It would be best if you visited that restaurant; the food is really good, and it’s not very expensive."
“How much would you pay for a luxurious farmhouse by the beach? An arm and a leg?”,“How much would you pay for a luxurious farmhouse by the beach? A lot?”
"I would have loved to go with my friends on vacation, but it would have cost me an arm and a leg.","I would have loved to go with my friends on vacation, but it would have been very expensive."
"The show is excellent, but the tickets cost an arm and a leg.","The show is excellent, but the tickets are very expensive."
He really wants to go to that event. He’s willing to pay an arm and a leg for it.,He really wants to go to that event. He’s willing to pay a lot for it.
I went to the auction but didn’t pick up anything. Everything cost an arm and a leg.,I went to the auction but didn’t pick up anything. Everything was very expensive.
This resort lets you experience luxury without having to pay an arm and a leg.,This resort lets you experience luxury without having to pay a lot.
How can I buy you a golden-plated plane that costs an arm and a leg?,How can I buy you a golden-plated plane that is very expensive?
The electric scooter is the best thing to go anywhere without costs an arm and a leg.,The electric scooter is the best thing to go anywhere without paying a lot.
I will not buy a new Apple iPhone as it costs an arm and a leg.,I will not buy a new Apple iPhone as it is very expensive.
"Caribbean cruise was incredible, but it it cost an arm and a leg.","The Caribbean cruise was incredible, but it was very expensive."
"The new smartphone costs an arm and a leg, but it has amazing feartures.","The new smartphone is very expensive, but it has amazing features."
Reparing my car after the accident cost an arm and a leg.,Repairing my car after the accident was very expensive.
Break a leg!' shouted the stage director to his actors before the beginning of the play.,"""Good luck!"" shouted the stage director to his actors before the beginning of the play."
You have an exam tomorrow? Break a leg!,You have an exam tomorrow? Good luck!
My first stage performance is scheduled for tonight. break a leg!,My first stage performance is scheduled for tonight. Good luck!
